PacketCounter,Time(ms),x,y,z,Gyr_X,Gyr_Y,Gyr_Z
25,62142.568,-0.538322985,9.475467691,7.487073898,0.029610058,0.994395912,0.798882425
26,62150.901,-0.497923702,9.576744566,7.407691479,0.420841873,0.853594363,0.403168052
27,62159.234,-0.513617039,9.632443914,7.431789398,1.096827269,1.247464538,-0.047168616
28,62167.567,-0.583416045,9.676767359,7.448842049,1.751450062,1.678603292,-0.965874374
29,62175.9,-0.552226186,9.99200345,7.633237362,2.351386786,-0.256897956,-1.303930998
30,62184.233,-0.751823902,10.21878911,7.288683891,2.552816868,2.365833282,-2.089775801
31,62192.566,-0.641563654,9.412863264,7.459135056,3.639372826,6.903010368,-2.366972923
32,62200.899,-0.583811522,9.419485578,7.697818279,4.252808094,3.123297215,-2.03416729
33,62209.232,-0.696911395,10.0402918,7.607169628,4.568811417,1.417184591,-1.240484595
34,62217.565,-0.771653414,10.42466165,7.626371861,4.926027298,1.717716455,-0.861368358
35,62225.898,-0.831170261,10.89350844,7.457394123,5.196820736,3.812345743,-1.570447206
36,62234.231,-0.727294803,9.79689456,7.51367712,5.741021156,8.180135727,-0.505356073
37,62242.564,-0.669453025,9.914873609,7.719095707,5.474146843,4.744499207,0.942373395
38,62250.897,-0.618409276,10.26904679,7.482906818,4.728541374,4.012700558,2.618773699
39,62259.23,-0.649462998,10.68510915,7.339406013,4.256574154,5.355220318,4.210980892
40,62267.563,-0.693051934,10.72788669,7.22474432,4.029734135,8.369606018,4.773776531
41,62275.896,-0.82544744,10.51266623,7.231750488,4.853308678,9.628699303,4.857586384
42,62284.229,-1.016961694,10.54383183,7.086811543,5.865148067,8.187437057,4.588995934
43,62292.562,-1.233471036,10.62292529,6.880496979,7.128109455,8.0198946,3.149270296
44,62300.895,-1.2367208,10.77840329,6.827850342,7.909881592,8.862654686,1.250051737
45,62309.228,-1.127015233,10.76859952,6.76106739,8.193149567,7.819617271,-0.476386398
46,62317.561,-1.010434628,10.82881976,6.623469353,9.140159607,6.459681034,-1.92125988
47,62325.894,-0.99916172,11.06916238,6.594671249,9.98025322,4.844317913,-3.722273827
48,62334.227,-1.026714444,11.18628503,6.792128563,9.952308655,1.691564202,-5.239686489
49,62342.56,-0.993398666,11.42755795,7.043031216,9.940886497,-5.841546059,-6.304932594
50,62350.893,-1.064988375,11.73806382,7.269111633,7.629356384,-18.63348007,-7.586567879
51,62359.226,-1.15826714,12.01468659,7.370204449,3.854074717,-32.4394722,-7.807955742
52,62367.559,-1.107853174,12.26608849,7.46805191,0.222588062,-42.95556259,-7.629429817
53,62375.892,-0.824716151,12.39386655,7.712069035,-3.523055315,-55.41379547,-8.367488861
54,62384.225,-0.812059224,12.68425847,7.813615322,-6.071252823,-67.20451355,-10.37848377
55,62392.558,-1.070626378,13.14866925,8.151924133,-8.09958744,-78.92288208,-13.04774666
56,62400.891,-1.408340931,13.9805441,8.45370388,-9.315311432,-88.78073883,-15.05770588
57,62409.224,-1.622412205,15.16049958,9.001730919,-10.99078846,-96.16725922,-13.71221924
58,62417.557,-1.244322896,16.72334195,9.543960571,-13.17386818,-101.7099838,-9.316764832
59,62425.89,0.041419059,18.45829679,10.25801277,-16.2597599,-105.3653946,-4.919531822
60,62434.223,2.243616581,19.96082498,11.02038574,-20.5031662,-106.5511551,-4.513313293
61,62442.556,3.500504732,20.57957269,11.47390461,-26.94823265,-104.468338,-5.77674818
