Time,x,y,z
1.254807692,0.7226582,-36.16,0.026321989
1.259615385,0.68915755,-16.42,0.05025107
1.264423077,0.72744405,-4.12,-0.007178724
1.269230769,0.60779864,-5.20,-0.009571632
1.274038462,0.5240469,-3.01,-0.002392908
1.278846154,0.5312256,-1.34,-0.011964541
1.283653846,0.5695121,-9.90,-0.028714897
1.288461538,0.67240715,-12.01,-0.08135887
1.293269231,0.6556568,-14.97,0.031107806
1.298076923,0.5264398,-16.44,0.09810923
1.302884615,0.67240715,-15.49,0.14118157
1.307692308,0.51208234,-11.70,0.20339718
1.3125,0.42833054,-7.64,0.24646953
1.317307692,0.46183127,-0.87,0.20100428
1.322115385,0.5240469,6.14,0.18664683
1.326923077,0.4450809,13.80,0.22971918
1.331730769,0.5647263,19.35,0.2584341
1.336538462,0.6293348,20.14,0.25604117
1.341346154,0.70830077,17.92,0.2632199
1.346153846,0.6389065,12.82,0.27279153
1.350961538,0.44747382,7.96,0.26082698
1.355769231,0.832732,3.78,0.33500713
1.360576923,0.5910483,1.73,0.3565433
1.365384615,0.57669085,0.38,0.26082698
1.370192308,0.57669085,-1.50,0.15553902
1.375,0.70830077,-2.99,0.16750357
1.379807692,0.7418015,-4.47,0.22014755
1.384615385,0.911698,-4.60,0.22732627
1.389423077,0.4402951,-4.10,0.30389932
1.394230769,0.90451926,-3.10,0.28236315
1.399038462,0.5647263,-2.81,0.33500713
1.403846154,1.0217718,-2.61,0.33740005
1.408653846,0.62454903,-2.18,0.39961565
1.413461538,0.7681235,-2.21,0.38765112
1.418269231,0.45704544,-1.53,0.442688
1.423076923,0.5001178,-1.79,0.28714898
1.427884615,0.49054617,-2.14,0.30868515
1.432692308,0.36611494,-2.39,0.26082698
1.4375,0.2632199,-2.43,0.2919348
1.442307692,0.15553902,-2.41,0.21775463
1.447115385,0.5264398,-1.98,0.1483603
1.451923077,0.4091873,-1.35,0.09810923
1.456730769,0.47140288,-0.67,0.071787246
1.461538462,0.24168372,0.18,0.045465253
1.466346154,0.2632199,0.58,0.011964541
1.471153846,0.31586388,1.09,0.033500712
1.475961538,0.3852582,1.79,0.07418015
1.480769231,0.35415038,2.34,0.088537596
1.485576923,0.3565433,2.73,0.13878867
1.490384615,0.37568656,2.74,0.16271774
1.495192308,0.3565433,2.17,0.24168372
1.5,0.31825677,1.23,0.27518442
1.504807692,0.38765112,0.18,0.24407662
1.509615385,0.60540575,-0.64,0.19382556
1.514423077,0.7633377,-0.77,0.17468229
1.519230769,0.42115182,-0.55,0.17228939
1.524038462,0.6293348,-0.21,0.18425392
1.528846154,0.7130866,0.07,0.27997026
1.533653846,0.6173703,0.18,0.19382556
1.538461538,0.44747382,0.15,0.28714898
1.543269231,0.5049036,-0.16,0.33500713
1.548076923,0.45465255,-0.34,0.42354473
1.552884615,0.5049036,-0.23,0.5072965
1.557692308,0.61497736,-0.04,0.48815325
1.5625,0.6221561,0.05,0.47618872
1.567307692,0.6389065,0.24,0.49293905
1.572115385,0.64369226,0.36,0.48576033
1.576923077,0.5312256,0.14,0.4785816
1.581730769,0.34936458,-0.02,0.5025107
1.586538462,0.19861138,-0.13,0.4402951
1.591346154,0.08614469,-0.29,0.4115802
1.596153846,0.1196454,-0.35,0.42833054
1.600961538,0.22732627,-0.30,0.45465255
1.605769231,0.5695121,-0.20,0.6269419
1.610576923,1.0361292,-0.04,0.7968384
1.615384615,0.5288327,0.01,0.64129937
1.620192308,1.0648441,0.04,0.73701566
1.625,0.46901,0.03,0.5838696
1.629807692,0.7968384,0.00,0.703515
1.634615385,0.8614469,-0.25,0.73701566
1.639423077,0.99784267,-0.17,0.703515
1.644230769,0.9021264,-0.10,0.7202653
1.649038462,0.5049036,-0.26,0.7681235
1.653846154,0.8877689,-0.18,0.7346228
1.658653846,1.2490981,0.27,0.72983694
1.663461538,0.7776951,0.69,0.67240715
1.668269231,0.79205257,1.12,0.5934412
1.673076923,0.8566611,1.08,0.66283554
1.677884615,0.95237744,0.84,0.69155043
1.682692308,0.9021264,0.17,0.68915755
1.6875,0.859054,-0.45,0.7657306
1.692307692,0.8997334,-0.55,0.71787244
1.697115385,0.9164838,-0.21,0.69633627
1.701923077,0.8877689,0.34,0.70112205
1.706730769,0.8829831,0.54,0.7992313
1.711538462,0.93323416,0.63,0.8734115
1.716346154,0.95237744,0.51,0.99784267
1.721153846,0.98827106,0.13,1.1150951
1.725961538,1.8210031,-0.27,1.3352427
1.730769231,1.1270597,-0.63,1.4118158
1.735576923,1.1150951,-0.87,1.354386
1.740384615,0.9404129,-0.87,1.483603
1.745192308,0.8542682,-0.69,1.6176059
1.75,0.7633377,-0.64,1.6893932
1.754807692,1.483603,-0.59,1.7276796
1.759615385,1.5984626,-0.63,1.8568966
1.764423077,1.222776,-0.80,1.8616825
1.769230769,0.8231604,-0.79,2.0028641
1.774038462,0.57669085,-0.72,2.0722585
1.778846154,1.8018597,-0.49,2.1751535
1.783653846,0.90691215,-0.31,2.2182257
1.788461538,0.7872668,-0.22,2.1823323
1.793269231,1.0217718,-0.07,2.2110472
1.798076923,0,-0.41,2.4766598
1.802884615,1.0289505,-1.14,2.3594074
1.807692308,0.4402951,-1.87,2.574769
1.8125,0.17707519,-2.28,2.5125535
1.817307692,0.78487384,-2.02,2.6609137
1.822115385,0.36611494,-1.45,2.6728783
1.826923077,0.50968945,-0.16,2.5604117
1.831730769,-0.25364825,1.03,2.6154485
1.836538462,0.28236315,2.40,2.2995846
1.841346154,0.44747382,4.26,2.3618002
1.846153846,1.0337363,5.72,2.2254045
1.850961538,0.7657306,9.26,2.2493336
1.855769231,0.8566611,14.87,2.2277975
1.860576923,0.46661708,35.19,2.5364826
1.865384615,0.90691215,76.44,2.627413
1.870192308,0.22254045,77.18,2.5053747
1.875,0.6580497,63.28,2.68245
1.879807692,0.57429796,13.51,2.502982
1.884615385,0.42593765,-7.21,2.4144442
1.889423077,0.4737958,12.84,2.1775463
1.894230769,0.6460852,25.12,2.318728
1.899038462,-0.27757734,28.57,2.4072654
1.903846154,0.019143265,25.41,1.5266753
1.908653846,0.033500712,21.71,1.0720228
1.913461538,0.12443122,22.64,0.86862564
1.918269231,0.09810923,22.39,1.2132044
1.923076923,0.28714898,22.81,1.3113136
1.927884615,0.19621846,24.00,1.2682413
1.932692308,0.25604117,23.64,1.2395264
1.9375,0.16750357,21.53,1.1605604
1.942307692,0.16032484,19.84,0.9404129
1.947115385,0.234505,19.66,0.6676214
1.951923077,0.27757734,20.46,0.75376606
1.956730769,0.24646953,19.73,0.93084127
1.961538462,0.22971918,19.69,1.2658484
1.966346154,0.23211208,19.00,1.2155973
1.971153846,-0.1172525,17.79,0.703515
1.975961538,0,16.00,0.66044265
1.980769231,-0.002392908,14.59,1.0768087
1.985576923,0.1459674,14.28,1.4668527
1.990384615,0.15793194,14.26,1.6870002
1.995192308,0.107680865,13.96,1.7587874
2,0.13400285,13.07,1.691786
2.004807692,0.28954187,12.45,1.7276796
2.009615385,-0.035893623,12.46,1.5673548
2.014423077,0.07657306,13.19,1.4142087
2.019230769,-0.36850783,14.16,1.2754201
2.024038462,-0.63651353,14.55,1.588891
2.028846154,-0.8183746,14.23,1.8568966
2.033653846,-0.80880296,14.17,2.0411506
2.038461538,-0.8351249,14.73,2.2421548
2.043269231,-0.6269419,14.15,2.4862316
2.048076923,-0.48815325,13.13,2.443159
2.052884615,-0.55754757,12.58,2.5675905
2.057692308,-0.16511066,12.53,2.7662017
2.0625,-0.19382556,12.49,2.7662017
2.067307692,-0.42354473,12.37,2.969599
2.072115385,-0.6748001,12.19,3.2830698
2.076923077,-0.63651353,11.95,3.175389
2.081730769,-0.28236315,11.86,3.646792
2.086538462,-0.19621846,11.93,3.9602628
2.091346154,0.15793194,12.23,4.0559793
2.096153846,0.46183127,12.59,4.245019
2.100961538,0.43072346,12.59,4.4914885
2.105769231,0.72744405,12.50,4.6757426
2.110576923,-0.021536173,12.36,4.7475295
2.115384615,0.41875893,12.02,4.6446347
2.120192308,0.97152066,11.95,4.6661706
2.125,1.0600582,12.15,4.431666
2.129807692,1.0839874,11.91,4.3885937
2.134615385,0.8710185,11.53,4.381415
2.139423077,0.9140909,11.22,4.8097453
2.144230769,1.0983448,10.97,4.7834234
2.149038462,1.0241647,10.72,5.0945015
2.153846154,1.0480938,10.58,5.135181
