Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s),Magnetic Field X (uT),Magnetic Field Y (uT),Magnetic Field Z (uT),Orientation Quaternion Scalar,Orientation Quaternion X,Orientation Quaternion Y,Orientation Quaternion Z
-9.799634,0.354988,0.339118,0.079325,-0.037752,0.022241,19.551558,-39.895969,58.849077,0.682176,-0.190072,0.668512,0.227157
-9.812145,0.409106,0.316491,0.079246,-0.034191,0.02406,19.516111,-39.92229,59.160875,0.682101,-0.18995,0.668585,0.22727
-9.846134,0.377329,0.390702,0.080656,-0.022718,0.020869,19.395355,-39.884532,58.820151,0.682005,-0.189844,0.668681,0.227361
-9.874974,0.475606,0.44027,0.060619,-0.029605,0.007259,19.380171,-39.901537,58.981175,0.681931,-0.189808,0.668727,0.227479
-9.753017,0.586647,0.622768,-0.024232,-0.065073,-0.011825,19.226533,-39.893945,58.957371,0.681897,-0.190022,0.668593,0.227795
-9.659527,0.650076,0.677148,-0.108907,-0.088309,-0.008496,18.930562,-39.896068,58.932904,0.681855,-0.190436,0.668327,0.228357
-9.64152,0.632582,0.604865,-0.173886,-0.095468,-0.002366,19.394088,-39.882609,58.817586,0.681776,-0.191001,0.667989,0.22911
-9.727298,0.438094,0.55098,-0.21384,-0.097779,0.009685,19.283036,-40.015153,58.478656,0.681661,-0.19164,0.667617,0.23
-9.826782,0.213247,0.472126,-0.216924,-0.088439,0.01102,19.452335,-40.317539,58.306544,0.681518,-0.192293,0.667267,0.230894
-9.795119,0.204894,0.357103,-0.201778,-0.0556,0.016344,19.598389,-40.313532,58.315034,0.681294,-0.192921,0.667022,0.231738
-9.722935,0.276394,0.352673,-0.157086,-0.034516,0.025162,19.463294,-40.449614,58.119213,0.68104,-0.193426,0.666879,0.232472
-9.739744,0.309891,0.393069,-0.127942,-0.009622,0.040618,19.443036,-40.458866,58.270058,0.68073,-0.193835,0.666839,0.233153
-9.714201,0.455248,0.478779,-0.11412,0.014138,0.040445,19.596698,-40.4665,58.293804,0.680368,-0.194229,0.666875,0.233779
