Time (s) Auto,FN
2.366,613.39
2.368,611.55
2.37,610.27
2.372,607.89
2.374,606.09
2.376,604.43
2.378,602.8
2.38,601.71
2.382,600.4
2.384,598.77
2.386,597.48
2.388,597.01
2.39,596.29
2.392,595.98
2.394,595.51
2.396,595.71
2.398,595.7
2.4,596.06
2.402,597.1
2.404,599.43
2.406,602.06
2.408,605.04
2.41,608.72
2.412,612.05
2.414,615.21
2.416,619.64
2.418,623.03
2.42,626.53
2.422,629.99
2.424,633.3
2.426,636.5
2.428,640.23
2.43,644.48
2.432,647.39
2.434,651.23
2.436,655.02
2.438,658.08
2.44,661.77
2.442,665.05
2.444,668.76
2.446,671.32
2.448,673.57
2.45,675.73
2.452,677.78
2.454,679.25
2.456,680.36
2.458,681.76
2.46,681.73
2.462,682.93
2.464,682.92
2.466,682.27
2.468,682.1
2.47,681.29
2.472,680.09
2.474,679.04
2.476,678.9
2.478,677.77
2.48,676.94
2.482,675.9
2.484,674.64
2.486,674.08
2.488,672.48
2.49,670.82
2.492,669.41
2.494,668.41
2.496,666.46
2.498,664.95
2.5,664.09
2.502,663.01
2.504,662.42
2.506,662.69
2.508,662.67
2.51,663.39
2.512,664.47
2.514,666.33
2.516,669.37
2.518,671.81
2.52,675.07
2.522,678.62
2.524,683.14
2.526,688.35
2.528,693.45
2.53,698.82
2.532,704.45
2.534,710.64
2.536,716.94
2.538,722.85
2.54,727.71
2.542,732.43
2.544,737.64
2.546,742.55
2.548,745.79
2.55,748.66
2.552,751.66
2.554,753.47
2.556,754.59
2.558,756.06
2.56,757.29
2.562,757.52
2.564,758.57
2.566,759.82
2.568,759.69
2.57,759.9
2.572,760.04
2.574,759.6
2.576,758.69
2.578,758.06
2.58,756.97
2.582,755.94
2.584,755.31
2.586,755.05
2.588,754.64
2.59,755.39
2.592,755.77
2.594,757.1
2.596,758.89
2.598,760.56
2.6,762.54
2.602,764.82
2.604,767.53
2.606,770.73
2.608,773.78
2.61,778.48
2.612,783.21
2.614,790.13
2.616,797.17
2.618,805.24
2.62,814.19
2.622,824.44
2.624,833.64
2.626,843.72
2.628,853.48
2.63,861.39
2.632,869.62
2.634,878.23
2.636,885.05
2.638,892.27
2.64,899.82
2.642,907.25
2.644,913.84
2.646,921.15
2.648,927.36
2.65,933.7
2.652,939.39
2.654,944.83
2.656,950.48
2.658,955.36
2.66,959.7
2.662,964.43
2.664,969.09
2.666,973.81
2.668,977.85
2.67,983
2.672,987.2
2.674,990.99
2.676,994.97
2.678,999.11
2.68,1002.55
2.682,1006.75
2.684,1010.22
2.686,1014.81
2.688,1020.13
2.69,1026.33
2.692,1032.56
2.694,1040.34
2.696,1047.85
2.698,1055.54
2.7,1064.48
2.702,1073.73
2.704,1082.58
2.706,1091.21
2.708,1100.16
2.71,1110.51
2.712,1120.64
2.714,1130.83
2.716,1142.24
2.718,1154.98
2.72,1165.8
2.722,1178.4
2.724,1190.25
2.726,1201.88
2.728,1211.84
2.73,1221.95
2.732,1231.71
2.734,1242.81
2.736,1251.78
2.738,1262.36
2.74,1273.81
2.742,1283.85
2.744,1295.8
2.746,1307.83
2.748,1321.02
2.75,1332.2
2.752,1343.23
2.754,1353.29
2.756,1363.21
2.758,1373.39
2.76,1383.58
2.762,1394.12
2.764,1405.74
2.766,1417.32
2.768,1428.05
2.77,1440.95
2.772,1453.43
2.774,1465.1
2.776,1478.38
2.778,1490.74
2.78,1502.16
2.782,1514.74
2.784,1527.94
2.786,1541.16
2.788,1555.8
2.79,1569.76
2.792,1582.76
2.794,1597.03
2.796,1609.95
2.798,1623.14
2.8,1639.12
2.802,1652
2.804,1662.73
2.806,1672.07
2.808,1681
2.81,1691.75
2.812,1702.37
2.814,1712.2
2.816,1722.01
2.818,1731.35
2.82,1740.52
2.822,1749.77
2.824,1757.79
2.826,1764.64
2.828,1771.77
2.83,1778.22
2.832,1782.77
2.834,1789.34
2.836,1796.41
2.838,1802.81
2.84,1808.17
2.842,1813.39
2.844,1817.41
2.846,1822.07
2.848,1825.38
2.85,1830.31
2.852,1834.6
2.854,1839.57
2.856,1844.25
2.858,1848.66
2.86,1851.72
2.862,1855.05
2.864,1858.71
2.866,1862.22
2.868,1866.38
2.87,1870.68
2.872,1875.59
2.874,1880.83
2.876,1887.23
2.878,1894.29
2.88,1900.77
2.882,1906.5
2.884,1911.3
2.886,1916.75
2.888,1921.6
2.89,1925.26
2.892,1929.24
2.894,1933.35
2.896,1936.76
2.898,1938.83
2.9,1941.7
2.902,1944.07
2.904,1944.12
2.906,1944.53
2.908,1944.17
2.91,1942.64
2.912,1941.35
2.914,1940.75
2.916,1940.95
2.918,1940.09
2.92,1939.06
2.922,1938.8
2.924,1939.15
2.926,1939.15
2.928,1938.29
2.93,1938.55
2.932,1938.78
2.934,1937.51
2.936,1934.82
2.938,1932.05
2.94,1929.16
2.942,1927.04
2.944,1926.38
2.946,1927.74
2.948,1925.22
2.95,1913.22
2.952,1904.34
2.954,1902.71
2.956,1902.12
2.958,1897.7
2.96,1893.28
2.962,1889.86
2.964,1886.08
2.966,1882.42
2.968,1878.84
2.97,1874.53
