PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
3422,845527678,0.217472,0.722965,-0.145845,0.639343,10.9899168,-1.413830161,-0.261140257,-38.71255112,-9.104579926,4.174280643,-0.518310547,-0.631835938,0.132324219
3423,845536011,0.218852,0.722828,-0.147709,0.638598,9.790611267,-1.749660611,-0.47199285,-31.85705376,-9.599699974,4.728187084,-0.519287109,-0.629882813,0.130615234
3424,845544344,0.219802,0.722772,-0.149289,0.637968,8.882997513,-1.89135623,-0.629881024,-24.5814209,-9.238689423,5.850525379,-0.519775391,-0.62890625,0.129638672
3425,845552677,0.220292,0.722767,-0.150545,0.63751,8.002195358,-1.917807341,-0.454657316,-17.39861679,-7.137907982,7.32293272,-0.519287109,-0.628417969,0.131103516
3426,845561010,0.220446,0.722716,-0.151739,0.63723,7.431031227,-1.840314627,-0.127450451,-12.55432224,-6.268919945,10.04582977,-0.524414063,-0.624023438,0.132080078
3427,845569343,0.220151,0.722647,-0.152795,0.637159,6.622096062,-1.910043001,0.081479125,-6.480748653,-4.554941654,13.28154755,-0.523681641,-0.623535156,0.130615234
3428,845577676,0.219407,0.722646,-0.153708,0.637197,5.728471756,-1.742040634,0.46655938,-0.376157939,-4.540957451,15.98979378,-0.522705078,-0.621582031,0.131103516
3429,845586009,0.218257,0.722784,-0.154432,0.637261,5.141564369,-1.648658633,0.63253659,5.817019939,-5.832990646,17.44836807,-0.523925781,-0.619140625,0.132568359
3430,845594342,0.216677,0.723098,-0.154889,0.637332,4.682274818,-1.740395665,0.525951624,12.97648335,-7.395691395,18.20463371,-0.524414063,-0.6171875,0.133789063
3431,845602675,0.214817,0.723531,-0.155162,0.637405,4.403302193,-1.876429319,0.637679935,17.72332191,-8.482941628,18.57763481,-0.527832031,-0.6171875,0.135742188
3432,845611008,0.21269,0.724052,-0.155199,0.637517,4.210315228,-1.902207851,0.397267938,22.79776382,-8.743618011,18.50489044,-0.52734375,-0.612792969,0.137695313
3433,845619341,0.210237,0.724654,-0.155028,0.637687,3.978238583,-2.074196577,0.357519358,28.23311615,-8.946511269,19.28003883,-0.530761719,-0.610839844,0.140136719
3434,845627674,0.207456,0.725285,-0.15465,0.637973,3.659004211,-2.203931808,0.179941759,33.64529419,-8.156596184,20.37156677,-0.527832031,-0.610839844,0.138183594
3435,845636007,0.204406,0.725988,-0.154164,0.638275,3.535426855,-2.001150608,0.351454526,37.50250626,-8.892931938,21.55620956,-0.53125,-0.608886719,0.144042969
3436,845644340,0.20125,0.726745,-0.153553,0.638564,3.482832909,-1.408872247,0.143781081,39.8016777,-9.379118919,21.07135963,-0.532714844,-0.606445313,0.146972656
3437,845652673,0.19807,0.727495,-0.15274,0.638899,3.556812048,-0.674835563,0.156614587,41.89490509,-8.341381073,19.41972542,-0.533203125,-0.60546875,0.149902344
3438,845661006,0.194998,0.728255,-0.151837,0.639194,3.464866877,0.031722374,0.021785706,41.52889633,-8.345248222,17.44465637,-0.535400391,-0.606445313,0.151611328
3439,845669339,0.191984,0.728983,-0.15081,0.63952,3.62161231,0.173959091,-0.347577661,42.02188873,-7.314658165,15.81707382,-0.536865234,-0.604003906,0.154052734
3440,845677672,0.18916,0.72968,-0.149762,0.639812,3.493624687,0.24671644,-0.566586375,40.16318893,-6.935949802,13.92643166,-0.533935547,-0.604980469,0.157958984
3441,845686005,0.186507,0.730327,-0.148581,0.640127,3.618927717,0.472791374,-0.531101584,39.52098083,-5.55510807,11.25908756,-0.536865234,-0.6015625,0.156982422
3442,845694338,0.184216,0.730875,-0.147471,0.640423,3.88371563,0.326427847,-0.083800808,34.97427368,-4.321343899,8.925263405,-0.538330078,-0.604003906,0.158935547
3443,845702671,0.182308,0.731332,-0.146501,0.64067,4.068677425,0.404043585,-0.0904641,29.56955147,-3.593948364,7.021532536,-0.539306641,-0.603515625,0.159912109
3444,845711004,0.180739,0.731758,-0.145616,0.64083,4.165132523,-0.060006846,-0.176767111,25.14437866,-3.717690468,4.732591152,-0.537841797,-0.603027344,0.163330078
3445,845719337,0.179397,0.732187,-0.144804,0.6409,4.561524868,-0.09182924,-0.381909937,22.05711937,-4.384147167,3.249346733,-0.538330078,-0.604003906,0.163330078
3446,845727670,0.178279,0.732599,-0.143933,0.640938,4.5960536,-0.365397364,-0.958302319,20.20328712,-3.964866877,0.627958775,-0.538330078,-0.605957031,0.16796875
3447,845736003,0.177374,0.733114,-0.14291,0.640829,4.449960232,-0.377948821,-1.504974604,19.3669281,-5.561172009,-3.340698957,-0.539794922,-0.60546875,0.165771484
3448,845744336,0.176591,0.733809,-0.141797,0.640497,4.710760593,-0.224353462,-1.862635493,18.9283371,-8.916920662,-6.23690176,-0.538818359,-0.607421875,0.168945313
3449,845752669,0.17553,0.734779,-0.140586,0.639944,4.816069603,0.467914879,-2.652043104,22.83395195,-13.89410305,-5.8359375,-0.539794922,-0.609863281,0.170410156
3450,845761002,0.173995,0.735874,-0.138894,0.639474,4.737156391,0.766253412,-3.791078568,32.32258987,-13.9093771,-6.568867683,-0.538818359,-0.608886719,0.174804688
3451,845769335,0.172032,0.737098,-0.136861,0.639032,5.30264616,1.26072073,-4.584272385,39.9961586,-14.7494297,-6.431757927,-0.539794922,-0.613769531,0.177246094
