timestamp,x,y,z
,-10.394793,16.439278,23.144207
,-0.4091873,10.397185,14.986783
,6.1067014,-8.368,13.493608
3001523,5.3768644,-7.5448394,4.886318
,5.1399665,-8.126316,6.4967456
,5.721443,-10.1435375,-3.0916374
,7.678842,-10.7298,-7.5400534
,5.125609,-10.303863,-8.671899
,2.895419,-3.9937637,-10.593404
,0.18903974,1.9573988,-13.589325
,-3.1299238,8.781973,-13.941083
3001561,-5.857839,12.282797,-13.160995
,-8.066493,12.995884,-10.96909
,-10.157895,12.218188,-11.373492
,-11.928647,11.61039,-10.12918
,-10.780051,8.028207,-8.092815
,-9.818102,5.343364,-7.6453414
,-7.274441,3.5271466,-7.262476
,-3.7449012,0.41875893,-5.522832
3001599,-1.6008555,-3.359643,-7.542446
,-2.2565124,-4.8767467,-6.4656377
,-3.072494,-6.166524,-2.6513422
,1.562569,-2.3761578,15.060964
,-1.0600582,2.88824,19.37059
,-12.574732,16.216738,36.36981
,13.247139,16.207167,17.908524
,48.36546,9.303627,-27.109255
3001638,39.951992,15.151894,-17.48498
,22.83313,2.9313123,-18.91594
,1.6247846,-1.6750357,-23.388283
,-12.036327,7.997099,-2.864311
,-15.8769455,29.435162,13.218424
,-36.08266,44.826347,-19.423235
,-78.40124,52.581764,-30.069283
,-62.919125,43.163277,-19.22223
3001676,-40.54783,8.643184,-17.784094
,-33.139385,7.8319883,-19.801315
,-24.637383,11.957362,-25.972624
,-14.21866,11.806608,-25.76444
,-5.7166576,11.895146,-24.211445
,0.63651353,15.455793,-17.063828
,8.815474,25.704618,20.526365
,-5.4630094,11.981291,48.81772
3001714,-26.901073,19.930532,30.784763
,40.942657,24.737885,20.739334
,78.32227,-7.6261983,40.645935
,78.32227,-4.843246,45.66865
,51.035942,12.431157,31.248987
,29.078619,30.433004,17.056648
,7.5400534,-24.905388,46.78614
,-13.706577,19.279661,22.746984
3001753,-19.040369,16.62114,12.175117
,-16.266989,10.756122,8.5642185
,-10.961912,0.43311638,8.77958
,-8.760436,-9.102622,2.5675905
,-7.8822393,-8.085636,-9.901854
,-9.485488,-7.29837,-18.693398
,-6.8843966,-7.4778376,-25.113571
,-1.6678569,-5.443866,-20.567045
3001791,2.5915194,-0.5312256,-15.929589
,7.592697,4.2474117,-16.566103
,10.270362,7.9875274,-13.558217
,11.952576,10.30147,-8.341678
,12.7589855,11.725249,-6.2789907
,9.1983385,11.040878,-6.8150024
,6.78868,9.597955,-5.9750915
,3.7018287,8.420644,-5.7621226
3001830,1.380708,7.9372764,-1.2036327
,1.9191123,12.749414,16.759928
,3.8956544,19.363413,38.516247
,-0.3828653,32.91206,66.71906
,-25.752478,29.758205,36.884285
